Date,Ticker,Close_Price,Bank
2021-06-04,CM.TO,57.56,CIBC
2021-06-04,RY.TO,105.89,Royal Bank
2021-06-04,BNS.TO,62.04,Scotiabank
2021-06-04,TD.TO,71.4,TD Bank
2021-06-07,BMO.TO,105.6,BMO
2021-06-07,CM.TO,57.52,CIBC
2021-06-07,RY.TO,105.74,Royal Bank
2021-06-07,BNS.TO,62.0,Scotiabank
2021-06-07,TD.TO,71.37,TD Bank
2021-06-08,BMO.TO,105.29,BMO
2021-06-08,CM.TO,57.39,CIBC
2021-06-08,RY.TO,105.45,Royal Bank
2021-06-08,BNS.TO,62.01,Scotiabank
2021-06-08,TD.TO,71.43,TD Bank
2021-06-09,BMO.TO,104.45,BMO
2021-06-09,CM.TO,57.25,CIBC
2021-06-09,RY.TO,104.81,Royal Bank
2021-06-09,BNS.TO,61.86,Scotiabank
2021-06-09,TD.TO,70.93,TD Bank
2021-06-10,BMO.TO,104.28,BMO
2021-06-10,CM.TO,57.16,CIBC
2021-06-10,RY.TO,104.63,Royal Bank
2021-06-10,BNS.TO,61.75,Scotiabank
2021-06-10,TD.TO,70.69,TD Bank
2021-06-11,BMO.TO,104.26,BMO
2021-06-11,CM.TO,57.24,CIBC
2021-06-11,RY.TO,105.8,Royal Bank
2021-06-11,BNS.TO,61.85,Scotiabank
2021-06-11,TD.TO,70.84,TD Bank
2021-06-14,BMO.TO,103.91,BMO
2021-06-14,CM.TO,57.24,CIBC
2021-06-14,RY.TO,106.06,Royal Bank
2021-06-14,BNS.TO,61.76,Scotiabank
2021-06-14,TD.TO,70.57,TD Bank
2021-06-15,BMO.TO,104.74,BMO
2021-06-15,CM.TO,57.84,CIBC
2021-06-15,RY.TO,106.83,Royal Bank
2021-06-15,BNS.TO,62.06,Scotiabank
2021-06-15,TD.TO,71.03,TD Bank
2021-06-16,BMO.TO,106.22,BMO
2021-06-16,CM.TO,58.33,CIBC
2021-06-16,RY.TO,107.13,Royal Bank
2021-06-16,BNS.TO,62.61,Scotiabank
2021-06-16,TD.TO,71.31,TD Bank
2021-06-17,BMO.TO,105.01,BMO
2021-06-17,CM.TO,57.68,CIBC
2021-06-17,RY.TO,106.62,Royal Bank
2021-06-17,BNS.TO,61.74,Scotiabank
2021-06-17,TD.TO,71.08,TD Bank
2021-06-18,BMO.TO,104.27,BMO
2021-06-18,CM.TO,57.37,CIBC
2021-06-18,RY.TO,105.68,Royal Bank
2021-06-18,BNS.TO,60.64,Scotiabank
2021-06-18,TD.TO,70.7,TD Bank
2021-06-21,BMO.TO,105.19,BMO
2021-06-21,CM.TO,58.01,CIBC
2021-06-21,RY.TO,105.94,Royal Bank
2021-06-21,BNS.TO,61.0,Scotiabank
2021-06-21,TD.TO,71.08,TD Bank
2021-06-22,BMO.TO,105.24,BMO
2021-06-22,CM.TO,57.9,CIBC
2021-06-22,RY.TO,105.58,Royal Bank
2021-06-22,BNS.TO,60.84,Scotiabank
2021-06-22,TD.TO,70.72,TD Bank
2021-06-23,BMO.TO,105.06,BMO
2021-06-23,CM.TO,57.99,CIBC
2021-06-23,RY.TO,105.42,Royal Bank
2021-06-23,BNS.TO,61.06,Scotiabank
2021-06-23,TD.TO,70.63,TD Bank
2021-06-24,BMO.TO,104.95,BMO
2021-06-24,CM.TO,57.88,CIBC
2021-06-24,RY.TO,105.47,Royal Bank
2021-06-24,BNS.TO,61.3,Scotiabank
2021-06-24,TD.TO,70.76,TD Bank
2021-06-25,BMO.TO,105.68,BMO
2021-06-25,CM.TO,57.64,CIBC
2021-06-25,RY.TO,105.86,Royal Bank
2021-06-25,BNS.TO,61.8,Scotiabank
2021-06-25,TD.TO,71.19,TD Bank
2021-06-28,BMO.TO,104.39,BMO
2021-06-28,CM.TO,56.69,CIBC
2021-06-28,RY.TO,105.32,Royal Bank
2021-06-28,BNS.TO,61.3,Scotiabank
2021-06-28,TD.TO,70.55,TD Bank
2021-06-29,BMO.TO,104.0,BMO
2021-06-29,CM.TO,56.26,CIBC
2021-06-29,RY.TO,105.43,Royal Bank
2021-06-29,BNS.TO,61.56,Scotiabank
2021-06-29,TD.TO,70.58,TD Bank
2021-06-30,BMO.TO,104.37,BMO
2021-06-30,CM.TO,56.51,CIBC
2021-06-30,RY.TO,105.37,Royal Bank
2021-06-30,BNS.TO,61.59,Scotiabank
2021-06-30,TD.TO,70.52,TD Bank
2021-07-02,BMO.TO,104.4,BMO
2021-07-02,CM.TO,56.65,CIBC
2021-07-02,RY.TO,105.74,Royal Bank
2021-07-02,BNS.TO,61.88,Scotiabank
2021-07-02,TD.TO,70.63,TD Bank
2021-07-05,BMO.TO,104.59,BMO
2021-07-05,CM.TO,56.73,CIBC
2021-07-05,RY.TO,106.04,Royal Bank
2021-07-05,BNS.TO,61.93,Scotiabank
2021-07-05,TD.TO,71.14,TD Bank
2021-07-06,BMO.TO,104.06,BMO
2021-07-06,CM.TO,56.69,CIBC
2021-07-06,RY.TO,105.7,Royal Bank
2021-07-06,BNS.TO,61.29,Scotiabank
2021-07-06,TD.TO,70.83,TD Bank
2021-07-07,BMO.TO,104.19,BMO
